epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,542.824,1.71014,1.13455,1.21919,0.81756,0.67389,0.78973,0.41244,1.7465,inf,1.20646,0.0670321,0.000333009,0.000333009
2,1069.22,1.53915,0.91498,1.13855,0.89607,0.80129,0.88926,0.49827,1.591,inf,1.1152,0.0340315,0.000665691,0.000665691
3,1590.41,1.47377,0.84637,1.11071,0.88632,0.80046,0.87454,0.50826,1.54587,inf,1.11369,0.00102823,0.000995773,0.000995773
4,2108.52,1.42856,0.80742,1.09293,0.9007,0.83561,0.90328,0.50703,1.58616,inf,1.10955,0.000991232,0.000991232,0.000991232
5,2628.28,1.39354,0.7768,1.07738,0.88925,0.81377,0.889,0.50377,1.58535,inf,1.1236,0.000984449,0.000984449,0.000984449
6,3148.52,1.3675,0.75623,1.06771,0.88917,0.81335,0.88922,0.50231,1.56588,inf,1.11479,0.000975773,0.000975773,0.000975773
7,3668.3,1.34684,0.74143,1.05917,0.87821,0.80336,0.88103,0.5163,1.51979,inf,1.1036,0.000965239,0.000965239,0.000965239
8,4185.66,1.33073,0.73046,1.05447,0.90132,0.81544,0.89378,0.51423,1.5499,inf,1.09865,0.000952889,0.000952889,0.000952889
9,4702.82,1.31387,0.71537,1.04659,0.86433,0.77563,0.85583,0.49542,1.56025,inf,1.10646,0.000938772,0.000938772,0.000938772
10,5217.93,1.30214,0.7101,1.04417,0.8932,0.81351,0.88825,0.52063,1.50838,inf,1.09046,0.000922942,0.000922942,0.000922942
11,5733.22,1.29059,0.70181,1.03842,0.87627,0.78089,0.86703,0.50993,1.51119,inf,1.08965,0.000905463,0.000905463,0.000905463
12,6251.79,1.28297,0.69372,1.03425,0.89021,0.79075,0.87997,0.51104,1.54669,inf,1.11272,0.000886404,0.000886404,0.000886404
13,6769.68,1.2717,0.68876,1.03126,0.8907,0.81072,0.88564,0.51267,1.53104,inf,1.0966,0.000865839,0.000865839,0.000865839
14,7291.7,1.26473,0.68377,1.02889,0.8902,0.8031,0.88353,0.51029,1.54528,inf,1.10202,0.000843851,0.000843851,0.000843851
15,7813.38,1.25587,0.67927,1.02571,0.87877,0.77373,0.86743,0.51056,1.51028,inf,1.09581,0.000820525,0.000820525,0.000820525
16,8332.64,1.24914,0.67334,1.02315,0.88024,0.78871,0.87271,0.51353,1.51217,inf,1.0948,0.000795954,0.000795954,0.000795954
17,8851.48,1.23852,0.66743,1.0183,0.88864,0.79848,0.88058,0.51971,1.50419,inf,1.09381,0.000770234,0.000770234,0.000770234
18,9370.71,1.23153,0.6622,1.01668,0.8853,0.79738,0.87642,0.51767,1.50654,inf,1.09398,0.000743468,0.000743468,0.000743468
19,9890.95,1.22473,0.65994,1.01416,0.88253,0.78315,0.86966,0.51537,1.49834,inf,1.09163,0.000715761,0.000715761,0.000715761
20,10412.7,1.21968,0.65513,1.01338,0.89118,0.80314,0.88371,0.52099,1.51177,inf,1.09715,0.000687222,0.000687222,0.000687222
